1690,Cordoba,23,CERETÉ,23162,76,ENROFLOXACINA ORAL OVER,71943.88,2024-06-02 00:00:00,1000 ml
2674,Cordoba,23,CERETÉ,23162,397,KCL-FERTICOL,81058.48,2024-05-17 00:00:00,20 Lt
1830,Cordoba,23,CERETÉ,23162,72,Enrofloxacina 10%,64456.74,2024-04-22 00:00:00,250 ml
1697,Cordoba,23,CERETÉ,23162,75,ENROFLOXACINA ORAL OVER,77344.71,2024-03-10 00:00:00,10 ml
2282,Cordoba,23,CERETÉ,23162,362,UREA-FERTILIZANTES COLOMBIANOS S.A. (FERTICOL),70999.88,2024-04-19 00:00:00,50 Kg
2038,Cordoba,23,CERETÉ,23162,71,Enrofloxacina 10%,71030.12,2024-05-18 00:00:00,10 ml
1731,Cordoba,23,CERETÉ,23162,75,ENROFLOXACINA ORAL OVER,61853.52,2024-04-13 00:00:00,10 ml
1879,Cordoba,23,CERETÉ,23162,74,Enroflox® 10,77210.62,2024-03-11 00:00:00,1 Lt
2605,Cordoba,23,CERETÉ,23162,397,KCL-FERTICOL,81511.46,2024-03-09 00:00:00,20 Lt
1884,Cordoba,23,CERETÉ,23162,74,Enroflox® 10,83615.83,2024-03-16 00:00:00,1 Lt
2185,Cordoba,23,MONTERÍA,23001,364,UREA-GRUPO ORBIS,76610.10,2024-04-13 00:00:00,50 Kg
2391,Cordoba,23,CERETÉ,23162,376,DAP-FERTICOL,70993.92,2024-05-07 00:00:00,20 Lt
2247,Cordoba,23,CERETÉ,23162,362,UREA-FERTILIZANTES COLOMBIANOS S.A. (FERTICOL),78578.51,2024-03-15 00:00:00,50 Kg
2181,Cordoba,23,MONTERÍA,23001,364,UREA-GRUPO ORBIS,76726.33,2024-04-09 00:00:00,50 Kg
1978,Cordoba,23,CERETÉ,23162,71,Enrofloxacina 10%,80433.23,2024-03-19 00:00:00,10 ml
1675,Cordoba,23,CERETÉ,23162,76,ENROFLOXACINA ORAL OVER,78129.88,2024-05-18 00:00:00,1000 ml
2064,Cordoba,23,MONTERÍA,23001,360,UREA-PRODUCTOS QUÍMICOS PANAMERICANOS S.A. (PROQUIMPA),70759.41,2024-03-14 00:00:00,50 Kg
2721,Cordoba,23,CERETÉ,23162,405,KCL-BAYER,71703.18,2024-04-03 00:00:00,20 Lt
2704,Cordoba,23,CERETÉ,23162,405,KCL-BAYER,73754.32,2024-03-17 00:00:00,20 Lt
1535,Cordoba,23,CERETÉ,23162,39,Sombrero de paja,101624.23,2024-03-30 00:00:00,Tonelada
1847,Cordoba,23,CERETÉ,23162,72,Enrofloxacina 10%,59193.39,2024-05-09 00:00:00,250 ml
1798,Cordoba,23,CERETÉ,23162,72,Enrofloxacina 10%,71783.21,2024-03-21 00:00:00,250 ml
2566,Cordoba,23,CERETÉ,23162,362,UREA-FERTILIZANTES COLOMBIANOS S.A. (FERTICOL),94090.42,2024-04-30 00:00:00,50 Kg
1596,Cordoba,23,CERETÉ,23162,39,Sombrero de paja,96687.77,2024-05-30 00:00:00,Tonelada
1550,Cordoba,23,CERETÉ,23162,39,Sombrero de paja,112035.44,2024-04-14 00:00:00,Tonelada
2747,Cordoba,23,CERETÉ,23162,405,KCL-BAYER,70525.67,2024-04-29 00:00:00,20 Lt
2006,Cordoba,23,CERETÉ,23162,71,Enrofloxacina 10%,68695.33,2024-04-16 00:00:00,10 ml
1671,Cordoba,23,CERETÉ,23162,76,ENROFLOXACINA ORAL OVER,83804.89,2024-05-14 00:00:00,1000 ml
